discipline	gender	rank	name	country	time	penalty
C1	M	15	ANTON Franz	GER	92.89	2
C1	M	32	BASSETT Kaylen	AUS	92.63	2
C1	M	6	BENUS Matej	SVK	91.94	0
C1	M	18	DEBLIQUY Mewen	FRA	94.52	50
C1	M	10	GARGAUD CHANUT Denis	FRA	95.54	2
C1	M	3	GESTIN Nicolas	FRA	86.43	2
C1	M	16	MIRGORODSKY Marko	SVK	89.81	2
C1	M	13	PRSKAVEC Jiri	CZE	86.32	0
C1	M	2	SAVSEK Benjamin	SLO	87.14	0
C1	M	24	TRUMMER Timo	GER	85.25	4
C1	W	29	BAYN Nele	GER	102.77	0
C1	W	1	FOX Jessica	AUS	93.94	4
C1	W	2	FRANKLIN Mallory	GBR	82.42	252
C1	W	3	HERZOG Andrea	GER	96.43	2
C1	W	15	HUG Angele	FRA	102.22	0
C1	W	9	LEIBFARTH Evy	USA	112.37	50
C1	W	7	PANKOVA Zuzana	SVK	98.56	0
C1	W	17	SATILA Ana	BRA	98.67	0
C1	W	4	SATKOVA Gabriela	CZE	94.35	2
C1	W	11	SATKOVA Martina	CZE	102.85	2
K1	M	16	BUTCHER Finn	NZL	84.42	106
K1	M	7	CASTRYCK Titouan	FRA	82	0
K1	M	3	DE GENNARO Giovanni	ITA	79.07	0
K1	M	12	DELASSUS Anatole	FRA	84.52	50
K1	M	6	DOUGOUD Martin	SUI	83.31	0
K1	M	5	KAUZER Peter	SLO	81.87	0
K1	M	20	KREJCI Jakub	CZE	81.35	0
K1	M	27	OHRSTROM Isak	SWE	85.7	4
K1	M	28	POLACZYK Mateusz	POL	81.28	0
K1	M	26	TOMINC Lan	SLO	86.99	6
K1	W	42	BEKOVA Katerina	CZE	96.03	4
K1	W	1	FOX Jessica	AUS	90.29	4
K1	W	2	FUNK Ricarda	GER	90.4	4
K1	W	25	GALUSKOVA Antonie	CZE	93.35	2
K1	W	11	KUHNLE Corinna	AUT	93.15	2
K1	W	18	SATILA Ana	BRA	96.03	2
K1	W	39	SATKOVA Gabriela	CZE	94.71	2
K1	W	8	TERCELJ Eva	SLO	94.62	0
K1	W	24	VUITTON Emma	FRA	94.12	0
K1	W	19	WOODS Kimberley	GBR	93.36	2